Service_Quality,Product_Quality,Delivery_Speed,Satisfaction_Score,Satisfaction_Category
2,5,6,3.4783153462666467,0
6,9,4,6.337745385081866,1
7,3,4,5.313437845348467,1
5,9,9,5.762754544691952,1
1,2,5,3.4929289567029835,0
4,8,9,8.230272300840099,1
8,7,7,7.860601334712291,1
1,3,2,1.851404417120526,0
4,6,9,5.772959748491738,1
8,1,5,5.07692041606408,1
6,2,9,5.926624233758855,1
9,7,8,8.225465594794333,1
9,3,8,7.348246388742785,1
3,3,6,3.8978354127455757,0
9,2,4,5.826472261179603,1
8,4,3,4.815572670529793,0
2,7,8,5.747915209307572,1
7,5,4,5.868260085720915,1
3,3,3,3.5501840374627855,0
4,1,4,1.586569582783759,0
1,3,5,2.774838011269895,0
1,7,6,5.164323535863765,1
6,4,7,6.203980158489003,1
7,1,4,5.936425273814548,1
5,7,9,6.215642795063396,1
9,1,6,5.547630779065211,1
5,8,1,2.9019486128032685,0
8,9,7,6.106059733733904,1
2,7,7,4.844614843821911,0
6,4,4,5.832828068456177,1
1,6,4,3.251458417551061,0
4,2,8,1.8853347740583914,0
5,5,4,3.9825674821310995,0
1,8,2,2.978149943267869,0
5,9,7,6.176098043255052,1
2,2,6,3.05708370349514,0
2,6,2,2.3417174249343704,0
2,6,5,4.949252592874714,0
2,9,7,4.707820616927982,0
3,1,3,1.0027219813969892,0
5,7,8,6.738054673641925,1
7,7,6,7.1805848402910595,1
3,6,6,5.156291149844056,1
1,5,1,1.832009961485005,0
7,7,7,6.542227187799018,1
3,2,9,5.257613956003532,1
6,5,8,5.128652663150996,1
5,3,9,5.30864303168323,1
3,1,1,3.1555400109692373,0
9,1,7,5.671438217978733,1
4,2,1,2.794021832047134,0
4,1,2,4.052429453500285,0
8,2,8,5.67871290865093,1
2,7,9,6.77750701643281,1
5,2,7,4.408318207528308,0
6,7,4,5.324011770496292,1
8,1,5,4.184709690953243,0
2,7,9,6.363181264053827,1
5,6,8,5.973067638085169,1
1,3,2,1.8528660898914087,0
8,6,2,5.228852281341032,1
8,9,5,7.594904253633905,1
5,1,4,3.2806780548715935,0
8,8,7,6.239489108739605,1
7,2,7,6.585568912466114,1
